Date,Holiday,Type,Bank Holiday
01/01/2016,New Year's Day,Bank Holiday,TRUE
25/01/2016,Robert Burns Night,Notable Date,FALSE
27/01/2016,Holocaust Memorial Day,Notable Date,FALSE
09/02/2016,Shrove Tuesday,Notable Date,FALSE
10/02/2016,Ash Wednesday,Religious Date,FALSE
14/02/2016,Valentines Day,Notable Date,FALSE
01/03/2016,St David's Day,Notable Date,FALSE
06/03/2016,Mothering Sunday,Notable Date,FALSE
17/03/2016,St Patricks Day,Religious Date,FALSE
24/03/2016,Maundy Thursday,Religious Date,FALSE
25/03/2016,Good Friday,Bank Holiday,TRUE
27/03/2016,British Summertime Begins,Notable Date,FALSE
27/03/2016,Easter Sunday,Religious Date,FALSE
28/03/2016,Easter Monday,Bank Holiday,TRUE
01/04/2016,April Fool's Day,Notable Date,FALSE
21/04/2016,Queen Elizabeth's Birthday,Notable Date,FALSE
23/04/2016,St George's Day,Religious Date,FALSE
02/05/2016,May Day,Bank Holiday,TRUE
30/05/2016,Spring Bank Holiday,Bank Holiday,TRUE
14/06/2016,Trooping the Colour,Notable Date,FALSE
19/06/2016,Father's Day,Notable Date,FALSE
14/07/2016,Emmeline Pankhurst Day,Notable Date,FALSE
15/07/2016,St.Swithun's Day,Religious Date,FALSE
29/08/2016,Summer Bank Holiday,Bank Holiday,TRUE
30/10/2016,British Summertime Ends,Notable Date,FALSE
31/10/2016,Halloween,Notable Date,FALSE
01/11/2016,All Saints Day,Religious Date,FALSE
05/11/2016,Guy Fawkes Night,Notable Date,FALSE
13/11/2016,Remembrance Day,Notable Date,FALSE
30/11/2016,St Andrew's Day,Religious Date,FALSE
26/12/2016,Boxing Day,Bank Holiday,TRUE
27/12/2016,Christmas,Bank Holiday,TRUE
01/01/2017,Hogmanay,Notable Date,FALSE
02/01/2017,New Year's Day,Bank Holiday,TRUE
25/01/2017,Robert Burns Night,Notable Date,FALSE
27/01/2017,Holocaust Memorial Day,Notable Date,FALSE
14/02/2017,Valentines Day,Notable Date,FALSE
28/02/2017,Shrove Tuesday,Notable Date,FALSE
01/03/2017,Ash Wednesday,Religious Date,FALSE
01/03/2017,St David's Day,Notable Date,FALSE
17/03/2017,St Patricks Day,Religious Date,FALSE
26/03/2017,British Summertime Begins,Notable Date,FALSE
26/03/2017,Mothering Sunday,Notable Date,FALSE
01/04/2017,April Fool's Day,Notable Date,FALSE
13/04/2017,Maundy Thursday,Religious Date,FALSE
14/04/2017,Good Friday,Bank Holiday,TRUE
16/04/2017,Easter Sunday,Religious Date,FALSE
17/04/2017,Easter Monday,Bank Holiday,TRUE
21/04/2017,Queen Elizabeth's Birthday,Notable Date,FALSE
23/04/2017,St George's Day,Religious Date,FALSE
01/05/2017,May Day,Bank Holiday,TRUE
29/05/2017,Spring Bank Holiday,Bank Holiday,TRUE
14/06/2017,Trooping the Colour,Notable Date,FALSE
18/06/2017,Father's Day,Notable Date,FALSE
14/07/2017,Emmeline Pankhurst Day,Notable Date,FALSE
15/07/2017,St.Swithun's Day,Religious Date,FALSE
28/08/2017,Summer Bank Holiday,Bank Holiday,TRUE
29/10/2017,British Summertime Ends,Notable Date,FALSE
31/10/2017,Halloween,Notable Date,FALSE
01/11/2017,All Saints Day,Religious Date,FALSE
05/11/2017,Guy Fawkes Night,Notable Date,FALSE
12/11/2017,Remembrance Day,Notable Date,FALSE
30/11/2017,St Andrew's Day,Religious Date,FALSE
25/12/2017,Christmas,Bank Holiday,TRUE
26/12/2017,Boxing Day,Bank Holiday,TRUE
01/01/2018,New Year's Day,Bank Holiday,TRUE
25/01/2018,Robert Burns Night,Notable Date,FALSE
27/01/2018,Holocaust Memorial Day,Notable Date,FALSE
13/02/2018,Shrove Tuesday,Notable Date,FALSE
14/02/2018,Ash Wednesday,Religious Date,FALSE
14/02/2018,Valentines Day,Notable Date,FALSE
01/03/2018,St David's Day,Notable Date,FALSE
11/03/2018,Mothering Sunday,Notable Date,FALSE
17/03/2018,St Patricks Day,Religious Date,FALSE
25/03/2018,British Summertime Begins,Notable Date,FALSE
29/03/2018,Maundy Thursday,Religious Date,FALSE
30/03/2018,Good Friday,Bank Holiday,TRUE
01/04/2018,April Fool's Day,Notable Date,FALSE
01/04/2018,Easter Sunday,Religious Date,FALSE
02/04/2018,Easter Monday,Bank Holiday,TRUE
21/04/2018,Queen Elizabeth's Birthday,Notable Date,FALSE
23/04/2018,St George's Day,Religious Date,FALSE
07/05/2018,May Day,Bank Holiday,TRUE
28/05/2018,Spring Bank Holiday,Bank Holiday,TRUE
14/06/2018,Trooping the Colour,Notable Date,FALSE
17/06/2018,Father's Day,Notable Date,FALSE
14/07/2018,Emmeline Pankhurst Day,Notable Date,FALSE
15/07/2018,St.Swithun's Day,Religious Date,FALSE
27/08/2018,Summer Bank Holiday,Bank Holiday,TRUE
28/10/2018,British Summertime Ends,Notable Date,FALSE
31/10/2018,Halloween,Notable Date,FALSE
01/11/2018,All Saints Day,Religious Date,FALSE
05/11/2018,Guy Fawkes Night,Notable Date,FALSE
30/11/2018,St Andrew's Day,Religious Date,FALSE
25/12/2018,Christmas,Bank Holiday,TRUE
26/12/2018,Boxing Day,Bank Holiday,TRUE
01/01/2019,New Year's Day,Bank Holiday,TRUE
25/01/2019,Robert Burns Night,Notable Date,FALSE
27/01/2019,Holocaust Memorial Day,Notable Date,FALSE
14/02/2019,Valentines Day,Notable Date,FALSE
01/03/2019,St David's Day,Notable Date,FALSE
05/03/2019,Shrove Tuesday,Notable Date,FALSE
06/03/2019,Ash Wednesday,Religious Date,FALSE
17/03/2019,St Patricks Day,Religious Date,FALSE
31/03/2019,British Summertime Begins,Notable Date,FALSE
31/03/2019,Mothering Sunday,Notable Date,FALSE
01/04/2019,April Fool's Day,Notable Date,FALSE
18/04/2019,Maundy Thursday,Religious Date,FALSE
19/04/2019,Good Friday,Bank Holiday,TRUE
21/04/2019,Easter Sunday,Religious Date,FALSE
21/04/2019,Queen Elizabeth's Birthday,Notable Date,FALSE
22/04/2019,Easter Monday,Bank Holiday,TRUE
23/04/2019,St George's Day,Religious Date,FALSE
06/05/2019,May Day,Bank Holiday,TRUE
27/05/2019,Spring Bank Holiday,Bank Holiday,TRUE
14/06/2019,Trooping the Colour,Notable Date,FALSE
16/06/2019,Father's Day,Notable Date,FALSE
14/07/2019,Emmeline Pankhurst Day,Notable Date,FALSE
15/07/2019,St.Swithun's Day,Religious Date,FALSE
26/08/2019,Summer Bank Holiday,Bank Holiday,TRUE
27/10/2019,British Summertime Ends,Notable Date,FALSE
31/10/2019,Halloween,Notable Date,FALSE
01/11/2019,All Saints Day,Religious Date,FALSE
05/11/2019,Guy Fawkes Night,Notable Date,FALSE
10/11/2019,Remembrance Day,Notable Date,FALSE
30/11/2019,St Andrew's Day,Religious Date,FALSE
25/12/2019,Christmas,Bank Holiday,TRUE
26/12/2019,Boxing Day,Bank Holiday,TRUE
01/01/2020,New Year's Day,Bank Holiday,TRUE
25/01/2020,Robert Burns Night,Notable Date,FALSE
27/01/2020,Holocaust Memorial Day,Notable Date,FALSE
14/02/2020,Valentines Day,Notable Date,FALSE
25/02/2020,Shrove Tuesday,Notable Date,FALSE
26/02/2020,Ash Wednesday,Religious Date,FALSE
01/03/2020,St David's Day,Notable Date,FALSE
17/03/2020,St Patricks Day,Religious Date,FALSE
22/03/2020,Mothering Sunday,Notable Date,FALSE
29/03/2020,British Summertime Begins,Notable Date,FALSE
01/04/2020,April Fool's Day,Notable Date,FALSE
09/04/2020,Maundy Thursday,Religious Date,FALSE
10/04/2020,Good Friday,Bank Holiday,TRUE
12/04/2020,Easter Sunday,Religious Date,FALSE
13/04/2020,Easter Monday,Bank Holiday,TRUE
21/04/2020,Queen Elizabeth's Birthday,Notable Date,FALSE
23/04/2020,St George's Day,Religious Date,FALSE
04/05/2020,May Day,Bank Holiday,TRUE
25/05/2020,Spring Bank Holiday,Bank Holiday,TRUE
14/06/2020,Trooping the Colour,Notable Date,FALSE
21/06/2020,Father's Day,Notable Date,FALSE
14/07/2020,Emmeline Pankhurst Day,Notable Date,FALSE
15/07/2020,St.Swithun's Day,Religious Date,FALSE
31/08/2020,Summer Bank Holiday,Bank Holiday,TRUE
25/10/2020,British Summertime Ends,Notable Date,FALSE
31/10/2020,Halloween,Notable Date,FALSE
01/11/2020,All Saints Day,Religious Date,FALSE
05/11/2020,Guy Fawkes Night,Notable Date,FALSE
08/11/2020,Remembrance Day,Notable Date,FALSE
30/11/2020,St Andrew's Day,Religious Date,FALSE
25/12/2020,Christmas,Bank Holiday,TRUE
28/12/2020,Boxing Day,Bank Holiday,TRUE
